,,タイトル1,タイトル1内リンク文字1,リンク先,タイトル1内リンク文字2,リンク先,タイトル2,開催日,対象,申込受付状況,詳細(PDF名)
1,24_65,"● 「パソコンスキルアップセミナー」
 　　　　　　(ワード・エクセル・ホームページ制作）
講師：ランネット
会場：勝山文化センター",ランネット,http://www.lannet-inc.co.jp/,,,①　ワード・基礎,"8/21(火)
13：30-16：30","求職者
就業者","終了

",24-S10-skill8gatsu.pdf
1,24_66,"● 「パソコンスキルアップセミナー」
 　　　　　　(ワード・エクセル・ホームページ制作）
講師：ランネット
会場：勝山文化センター",ランネット,http://www.lannet-inc.co.jp/,,,"②　エクセル・基礎
※②③は同じ内容です。","8/22(水)
13：30-16：30","求職者
就業者","終了

",24-S10-skill8gatsu.pdf
1,24_67,"● 「パソコンスキルアップセミナー」
 　　　　　　(ワード・エクセル・ホームページ制作）
講師：ランネット
会場：勝山文化センター",ランネット,http://www.lannet-inc.co.jp/,,,"③　エクセル・基礎
※②③は同じ内容です。","8/23(木)
18：30-21：30","求職者
就業者","終了

",24-S10-skill8gatsu.pdf
1,24_68,"● 「パソコンスキルアップセミナー」
 　　　　　　(ワード・エクセル・ホームページ制作）
講師：ランネット
会場：勝山文化センター",ランネット,http://www.lannet-inc.co.jp/,,,"④　ホームページ制作・基礎A
※④⑤は同じ内容です。","8/28(火)
18：30-21：30","求職者
就業者","終了

",24-S10-skill8gatsu.pdf
1,24_69,"● 「パソコンスキルアップセミナー」
 　　　　　　(ワード・エクセル・ホームページ制作）
講師：ランネット
会場：勝山文化センター",ランネット,http://www.lannet-inc.co.jp/,,,"⑤　ホームページ制作・基礎A
※④⑤は同じ内容です。","8/29(水）
13：30-16：30","求職者
就業者","終了

",24-S10-skill8gatsu.pdf
1,24_70,"● 「パソコンスキルアップセミナー」
 　　　　　　(ワード・エクセル・ホームページ制作）
講師：ランネット
会場：勝山文化センター",ランネット,http://www.lannet-inc.co.jp/,,,⑥　ホームページ制作・基礎B,"8/30(木)
18：30-21：30","求職者
就業者","終了

",24-S10-skill8gatsu.pdf
1,24_71,"● 　接遇・おもてなしセミナー
講師：中川真弓氏（キャリアプランニング）
会場：久世エスパス　ギャラリー",キャリアプランニング,http://www.capla.co.jp/,,,"①　ビジネスマナー
会場：白梅総合体育館　会議室","8/24(金)
13：30-15：30","求職者
就業者
事業主","終了
",24-setsuguu5gatsu.pdf
1,24_72,"● 　接遇・おもてなしセミナー
講師：中川真弓氏（キャリアプランニング）
会場：久世エスパス　ギャラリー",キャリアプランニング,http://www.capla.co.jp/,,,"②　ビジネスマナー
会場：真庭エスパス　ギャラリー","8/24(金)
18：30-20：30","求職者
就業者
事業主","終了
",24-setsuguu5gatsu.pdf
1,24_73,"● 　接遇・おもてなしセミナー
講師：中川真弓氏（キャリアプランニング）
会場：久世エスパス　ギャラリー",キャリアプランニング,http://www.capla.co.jp/,,,"③　顧客満足研修
会場：木材ふれあい会館　２F会議室","8/27(月)
13：30-15：30","求職者
就業者
事業主","終了
",24-setsuguu5gatsu.pdf
1,24_74,"● 「経営革新塾」
講師：宇治川一清氏
（インタープレフ・マネジメント）
会場：真庭商工会",インタープレフ・マネジメント,http://www2.odn.ne.jp/~aad71210/,,,,"8/25,9/1
9/15,9/29
計4回(土）
10：00-17：00","事業主
就業者","終了
",24-S02-kakushin.pdf
1,24_75,"◆　晴れの国ぐらし総合相談会
　　おかやま交流・定住フェア
住まいの相談、就職・就農相談会
日程：2012年8月25日（大阪）
会場：シティプラザ大阪２階
http://www.okayama-inaka.jp/",http://www.okayama-inaka.jp/,http://www.okayama-inaka.jp/,,,,"8/25(土)
11：00-16：00","関心が
ある方",終了,
1,24_76,"◆　おかやま晴れの国ぐらし
　　 相談デスク（東京・大阪）　　
住まい、暮らし、就職、就農等の個別相談会
東京会場：東京交通会館6F
大阪会場：シティプラザ大阪５F
http://www.okayama-inaka.jp/",http://www.okayama-inaka.jp/,http://www.okayama-inaka.jp/,,,,"7/21(土)
12：00-16：00
東京","関心が
ある方","終了
",24-soudan7gatsu.pdf
1,24_77,"◆　おかやま晴れの国ぐらし
　　 相談デスク（東京・大阪）　　
住まい、暮らし、就職、就農等の個別相談会
東京会場：東京交通会館6F
大阪会場：シティプラザ大阪５F
http://www.okayama-inaka.jp/",http://www.okayama-inaka.jp/,http://www.okayama-inaka.jp/,,,,"7/28（土）
12：00-16：00
大阪","関心が
ある方","終了
",24-soudan7gatsu.pdf
1,24_78,"●　目からウロコのPOP（ポップ）セミナー　
-売れるPOPがわかる！作れる！面白い！-
講師：石川香代氏（ビーアップ）
会場：真庭市役所本庁舎２Ｆ大会議室",ビーアップ,http://www.pop21.biz/,,,①　売上げＵＰの販促,"7/4(水)
18：30-20：30","事業主
就業者","終了
",24-pop.pdf
1,24_79,"●　目からウロコのPOP（ポップ）セミナー　
-売れるPOPがわかる！作れる！面白い！-
講師：石川香代氏（ビーアップ）
会場：真庭市役所本庁舎２Ｆ大会議室",ビーアップ,http://www.pop21.biz/,,,②　売上げを上げる手書きＰＯＰ,"8/3(木)
18：30-20：30","事業主
就業者","終了
",24-pop.pdf
1,24_80,"●　フェイスブック活用セミナー（入門）
講師：森谷真也氏（ドット・リファイン）
会場：真庭市役所本庁舎２Ｆ大会議室",ドット・リファイン,http://dotrefine.com/,,,,"7/17(火)
14：00-16：00","求職者
就業者
事業主","終了
",24-fbnyumon.pdf
1,24_81,"●　フェイスブック活用セミナー（実践）
講師：森谷真也氏（ドット・リファイン）
会場：久世エスパスギャラリー",ドット・リファイン,http://dotrefine.com/,,,①　実践・基礎編,"7/24(火)
13：30-16：00","求職者
就業者
事業主",終了,24-fbjissen.pdf
1,24_82,"●　フェイスブック活用セミナー（実践）
講師：森谷真也氏（ドット・リファイン）
会場：久世エスパスギャラリー",ドット・リファイン,http://dotrefine.com/,,,②　実践・応用編,"7/31(火)
13：30-16：00","求職者
就業者
事業主",終了,24-fbjissen.pdf
1,24_83,"●　月刊『現代農業』記者直伝　
 　　 直売所名人になろう！
講師：伊勢村文英氏（かたつむりの会）
 　　　 向井道彦氏（現代農業）
会場：久世公民館ホール",現代農業,http://www.ruralnet.or.jp/gn/,,,,"7/18(水)
14：30-17：00","事業主
就業者","終了
",24-gendai.pdf
1,24_84,"● 実践！整理術で仕事力をUPする
一日１０分で会社を変える「整理学」
 ～事業主・事業リーダー向け～
講師：佐藤亮介氏（ロハスカタス）
会場：真庭市市民活動支援プラザ",ロハスカタス,http://lohaskatas.com/,,,"①　整理の基本、環境と人、
 　　事業効率とリスク","6/20(水)
13：30-15：30","事業主
就業者","終了
",24-seiri2H.pdf
1,24_85,"● 実践！整理術で仕事力をUPする
一日１０分で会社を変える「整理学」
 ～事業主・事業リーダー向け～
講師：佐藤亮介氏（ロハスカタス）
会場：真庭市市民活動支援プラザ",ロハスカタス,http://lohaskatas.com/,,,"②　収納の応用、実例、
 　　 データorペーパー、共有　他","7/11(水)
13：30-15：30","事業主
就業者","終了
",24-seiri2H.pdf
