,,タイトル1,タイトル1内リンク文字1,リンク先,タイトル1内リンク文字2,リンク先,タイトル1内リンク文字3,リンク先,タイトル2,タイトル2内リンク文字1,リンク先,タイトル2内リンク文字2,リンク先,開催日,対象,申込受付状況,詳細
1,23_62,"●　まにわの宝をキラキラ輝かせる人材を育成！ 　
 　　地域資源を活用した
　　体験型プログラムガイド育成セミナー
講師： 
川北秀人氏（ジャパン・オンパク 理事）
加藤せい子氏（ジャパン・オンパク公認トレーナー）
北澤勝己氏（ジャパン・オンパク公認トレーナー）",川北秀人氏,http://blog.canpan.info/dede/,ジャパン・オンパク,http://japan.onpaku.jp/,加藤せい子氏,http://blog.canpan.info/kibino/,"①　「まちづくりと産業の両立を目指す」
会場：湯原ふれあいセンター",,,,,"6/22(水)
14:00-17:00","求職者
就業者
事業主","終了
",23-yubaragr.pdf
1,23_63,"●　まにわの宝をキラキラ輝かせる人材を育成！ 　
 　　地域資源を活用した
　　体験型プログラムガイド育成セミナー
講師： 
川北秀人氏（ジャパン・オンパク 理事）
加藤せい子氏（ジャパン・オンパク公認トレーナー）
北澤勝己氏（ジャパン・オンパク公認トレーナー）",川北秀人氏,http://blog.canpan.info/dede/,ジャパン・オンパク,http://japan.onpaku.jp/,加藤せい子氏,http://blog.canpan.info/kibino/,"②　｢地域資源を活用した
　　　　体験型プログラムの実践事例｣
会場：湯原ふれあいセンター",,,,,"6/28(火)
14:00-17:00","求職者
就業者
事業主","終了
",23-yubaragr.pdf
1,23_64,"●　まにわの宝をキラキラ輝かせる人材を育成！ 　
 　　地域資源を活用した
　　体験型プログラムガイド育成セミナー
講師： 
川北秀人氏（ジャパン・オンパク 理事）
加藤せい子氏（ジャパン・オンパク公認トレーナー）
北澤勝己氏（ジャパン・オンパク公認トレーナー）",川北秀人氏,http://blog.canpan.info/dede/,ジャパン・オンパク,http://japan.onpaku.jp/,加藤せい子氏,http://blog.canpan.info/kibino/,"③　地域資源を活かしたプログラム体験
 　　（みちくさ小道）
湯原支局集合8:00／終了19:00　",,,,,"7/6(水)
10:00-17:00","求職者
就業者
事業主","終了
",23-yubaragr.pdf
1,23_65,"●　まにわの宝をキラキラ輝かせる人材を育成！ 　
 　　地域資源を活用した
　　体験型プログラムガイド育成セミナー
講師： 
川北秀人氏（ジャパン・オンパク 理事）
加藤せい子氏（ジャパン・オンパク公認トレーナー）
北澤勝己氏（ジャパン・オンパク公認トレーナー）",川北秀人氏,http://blog.canpan.info/dede/,ジャパン・オンパク,http://japan.onpaku.jp/,加藤せい子氏,http://blog.canpan.info/kibino/,"④　｢体験型プログラムを創ってみる」
会場：湯原ふれあいセンター",,,,,"7/20(水)
10:00-16:00","求職者
就業者
事業主","終了
",23-yubaragr.pdf
1,23_66,"● 市民総ガイドに向けて
　　観光おもてなしセミナー
講師：崎原真弓氏（美ら島観光バスガイド）
会場：午前の部　久世エスパス",崎原真弓氏,http://www.mayumie.com/,,,,,,,,,,"7/5(火)
10:00-12:00","求職者
就業者
事業主",終了,23-runesansu.pdf
1,23_67,"● 市民総ガイドに向けて
　　観光おもてなしセミナー
講師：崎原真弓氏（美ら島観光バスガイド）
会場：午後の部　休暇村・蒜山高原",崎原真弓氏,http://www.mayumie.com/,,,,,,,,,,"7/5(火)
14:30-16:30","求職者
就業者
事業主",終了,23-runesansu.pdf
1,23_68,"●　有機栽培セミナー　　六回シリーズ（前期）
講師：小祝政明氏（ジャパンバイオファーム）",小祝政明氏（ジャパンバイオファーム）,http://www.japanbiofarm.com/,,,,,第一回　有機栽培既論,,,,,"6/11(土)
10:00-18:00","事業主
就業者
求職者",終了,23-yuuki.pdf
1,23_69,"●　有機栽培セミナー　　六回シリーズ（前期）
講師：小祝政明氏（ジャパンバイオファーム）",小祝政明氏（ジャパンバイオファーム）,http://www.japanbiofarm.com/,,,,,第二回　現地講習①管理・追肥等,,,,,7/9（土）,"事業主
就業者
求職者",終了,23-yuuki.pdf
1,23_70,"●　有機栽培セミナー　　六回シリーズ（前期）
講師：小祝政明氏（ジャパンバイオファーム）",小祝政明氏（ジャパンバイオファーム）,http://www.japanbiofarm.com/,,,,,第二回　現地講習①管理・追肥等,,,,,7/10 （日）,"事業主
就業者
求職者",終了,23-yuuki.pdf
1,23_71,"●　有機栽培セミナー　　六回シリーズ（前期）
講師：小祝政明氏（ジャパンバイオファーム）",小祝政明氏（ジャパンバイオファーム）,http://www.japanbiofarm.com/,,,,,第三回　現地講習②収穫期・収穫前,,,,,8/6(土),"事業主
就業者
求職者",終了,23-yuuki.pdf
1,23_72,"●　有機栽培セミナー　　六回シリーズ（前期）
講師：小祝政明氏（ジャパンバイオファーム）",小祝政明氏（ジャパンバイオファーム）,http://www.japanbiofarm.com/,,,,,第三回　現地講習②収穫期・収穫前,,,,,8/7(日),"事業主
就業者
求職者",終了,23-yuuki.pdf
1,23_73,"● 「創業カレッジ2011」
会場：真庭商工会
講師：藤田悠久雄氏（ウェーブ）",,,,,,,,,,,,"7/2～7/23
毎週土曜
計4回
10:00-17:00","求職者
就業者
事業主","終了
",23-sogyo-s.pdf
1,23_74,"● 「ITスキルアップセミナー」(ワード・エクセル）
会場：落合公民館　視聴覚室
講師：株式会社ランネット",株式会社ランネット,http://www.lannet-inc.co.jp/,,,,,①　ワード基礎,,,,,"6/6（月）
朝9:30～",求職者,"終了
",23-skill6.pdf
1,23_75,"● 「ITスキルアップセミナー」(ワード・エクセル）
会場：落合公民館　視聴覚室
講師：株式会社ランネット",株式会社ランネット,http://www.lannet-inc.co.jp/,,,,,②　ワード中級,,,,,"6/7（火）
昼13:30～",求職者,"終了
",23-skill6.pdf
1,23_76,"● 「ITスキルアップセミナー」(ワード・エクセル）
会場：落合公民館　視聴覚室
講師：株式会社ランネット",株式会社ランネット,http://www.lannet-inc.co.jp/,,,,,"③　エクセル基礎
※エクセル基礎は同じ内容です。",,,,,"6/8（水）
夜18:30～",求職者,"終了
",23-skill6.pdf
1,23_77,"● 「ITスキルアップセミナー」(ワード・エクセル）
会場：落合公民館　視聴覚室
講師：株式会社ランネット",株式会社ランネット,http://www.lannet-inc.co.jp/,,,,,"④　エクセル基礎
※エクセル基礎は同じ内容です。",,,,,"6/13（月）
朝9:30～",求職者,"終了
",23-skill6.pdf
1,23_78,"● 「ITスキルアップセミナー」(ワード・エクセル）
会場：落合公民館　視聴覚室
講師：株式会社ランネット",株式会社ランネット,http://www.lannet-inc.co.jp/,,,,,⑤　エクセル中級,,,,,"6/14（火）
昼13:30～",求職者,"終了
",23-skill6.pdf
1,23_79,"● 「ITスキルアップセミナー」(ワード・エクセル）
会場：落合公民館　視聴覚室
講師：株式会社ランネット",株式会社ランネット,http://www.lannet-inc.co.jp/,,,,,⑥　エクセル中級,,,,,"6/15（水）
夜18:30～",求職者,"終了
",23-skill6.pdf
